"id","created_at","name","has_test","alternate_url"
"68075215","2022-08-29T18:28:24+0300","-",false,"https://hh.ru/vacancy/68075215"
"69285439","2022-08-30T08:50:29+0300","-",false,"https://hh.ru/vacancy/69285439"
"69305852","2022-08-30T14:33:29+0300","Junior",true,"https://hh.ru/vacancy/69305852"
"68617323","2022-08-30T15:51:47+0300","Senior",false,"https://hh.ru/vacancy/68617323"
"68620322","2022-08-30T16:55:49+0300","Junior",false,"https://hh.ru/vacancy/68620322"
"68620702","2022-08-30T17:05:05+0300","-",false,"https://hh.ru/vacancy/68620702"
"69320030","2022-08-31T05:51:46+0300","-",false,"https://hh.ru/vacancy/69320030"
"69175957","2022-08-31T13:51:57+0300","-",false,"https://hh.ru/vacancy/69175957"
"69176875","2022-08-31T14:10:44+0300","-",false,"https://hh.ru/vacancy/69176875"
"67366123","2022-08-31T15:10:49+0300","Senior",false,"https://hh.ru/vacancy/67366123"
"68979451","2022-08-31T17:55:34+0300","-",false,"https://hh.ru/vacancy/68979451"
"69353792","2022-08-31T18:13:17+0300","-",false,"https://hh.ru/vacancy/69353792"
"68981446","2022-08-31T20:16:57+0300","Junior",false,"https://hh.ru/vacancy/68981446"
"69372888","2022-09-01T12:15:16+0300","-",false,"https://hh.ru/vacancy/69372888"
"69374505","2022-09-01T12:44:42+0300","Middle+",false,"https://hh.ru/vacancy/69374505"
"69377908","2022-09-01T13:40:17+0300","Senior",false,"https://hh.ru/vacancy/69377908"
"69213847","2022-09-01T15:02:11+0300","-",false,"https://hh.ru/vacancy/69213847"
"69383038","2022-09-01T15:26:10+0300","Junior/Middle",false,"https://hh.ru/vacancy/69383038"
"69216429","2022-09-01T15:58:32+0300","-",false,"https://hh.ru/vacancy/69216429"
"69388131","2022-09-01T17:08:46+0300","Junior",false,"https://hh.ru/vacancy/69388131"
